"","CLAY","SILT","SAND","field_name","sample_uuid","TEXCLASS"
"1",18,77,5,"StephenFarms_HomeFarm","00e545ae-09eb-4687-af63-81a063e990e0","SIL"
"2",16.8,33.6,49.6,"SEED-544-Soybeans","013b646d-dfc9-427a-92a9-9a06539d56fe","L"
"3",30.16,42.08,27.76,"SEED-516-Soybeans","0178431d-b30c-403c-9ec8-890f30354d1d","CL"
"4",26.8695014662757,36.1935483870968,36.9369501466276,"airport","018d8e77-d778-43ba-b783-11a40b5f3094","L"
"5",38.9466666666667,47.7233333333333,13.33,"Dawson Farms - 2016 Doug C","0194929a-3130-4606-8612-5f98fcc1545d","SICL"
"6",28.48,63.81,7.71,"house","022986d5-8ddc-4db4-a8e2-e8246726abb4","SICL"
"7",13.7,30.55,55.75,"523 clone","026363cf-f057-47d2-a7e3-2460714a8215","SL"
"8",27.4,68.6,4,"turner south","02c9c2e0-44cb-44c5-96e7-dca20ce3e15a","SIL"
"9",16,24,60,"Vandyke","03064864-23f2-4149-bfa9-fdb262d11ed6","SL"
"10",30.69,64.64,4.67,"488 clone","034fc62c-d826-4132-8109-ff0c15573c54","SICL"
"11",19.86,73.14,7,"StephenFarms_BradKuegel","03984c32-a30a-4869-b88d-0b6b482767b4","SIL"
"12",21.36,40.52,38.12,"Buds house","03d37505-aa58-40eb-b4fc-9eb83e7fa55e","L"
"13",31.97,66.291,1.739,"Rose's Highway_NO Product_1_poly","041fdaea-291c-4f77-8e25-c660062de77d","SICL"
"14",28.48,63.81,7.71,"house","04d9b260-e54f-4401-88da-bb880a2119dd","SICL"
"15",29.85,62.27,7.88,"field-ne-001","04e369af-2316-4066-8e63-5382a368c901","SICL"
"16",35.8233333333333,45.4933333333333,18.6833333333333,"Dawson Farms - 2016 Doug C","0563d6b3-fbd7-4fdb-804e-f3548741edcd","SICL"
"17",28.115,67.62,4.265,"Dorris 80","058137e0-967c-4074-ba39-8ed81f9779ef","SICL"
"18",31,34.04,34.96,"Burrus Seed Farms - BMN  - Boundary","05f31968-0150-4a1a-b5f5-9a72a662c5fd","CL"
"19",42.88,49.59,7.53,"D Durdan Arnez","0625937f-cd70-45d1-ae7e-65a23ac753d2","SIC"
"20",25.57,69.9175,4.5125,"Moore 120","07648e4a-61b9-427c-888d-aa20a5d5f151","SIL"
"21",20.9,75.1,4,"Harvestore Hwy","08499faa-b9d0-41c9-9c1d-b95f652f49c0","SIL"
"22",28.115,67.62,4.265,"Dorris 80","08bb0713-7b83-418c-9ad9-412f54db2704","SICL"
"23",13.45,77.1,9.45,"1-000393acfield","09f81a4c-929b-4cb9-99ee-c0be67196ad4","SIL"
"24",13.5757575757576,30.010101010101,56.4141414141414,"523 clone","0a18cb2e-df4c-49b3-938f-f0cb4c8853d8","SL"
"25",28.115,67.62,4.265,"Dorris 80","0ade897f-f9dd-47d3-a0fe-d6dcf8a21bf1","SICL"
"26",23.1852941176471,72.5147058823529,4.3,"south","0b44cb9c-7736-4cb5-87b2-b46f3a12d34d","SIL"
"27",30.16,42.08,27.76,"Haelys","0c0c7b7b-23ab-40a3-8c2f-8b297f5b35f3","CL"
"28",24.5,58.5,17,"Sallys building","0cf74f44-9f3f-469a-bef7-beba7b85eb1c","SIL"
"29",11.34,21.34,67.32,"523 clone","0cf9b4d3-09f0-4d48-836c-efa5a82efeed","SL"
"30",28.48,63.81,7.71,"house","0d0e5977-3858-47a1-b643-03ddc08d8772","SICL"
"31",11.34,21.34,67.32,"YUSUF-MAIN-YUSUF MAIN-W OF RD-Soybeans","0d3adf91-db2f-41ff-8068-aef08f3265db","SL"
"32",13.7,30.55,55.75,"YUSUF-MAIN-YUSUF MAIN-W OF RD-Soybeans","0dcc3f3f-d203-42b0-bd8d-6dc62e0c83ab","SL"
"33",19.045,37.8785,43.0765,"field-ne-001","0e069dfc-7036-4825-924a-6d43ce310eb3","L"
"34",30.56,64.44,5,"north bins","0ebca8ea-fdea-433c-a350-f9500bd72241","SICL"
"35",11.34,21.34,67.32,"523 clone","0ed43c2f-b253-4e52-ad33-5eef00e830ac","SL"
"36",26.05,69.95,4,"west field","0ed8702b-25d3-4b00-b2b8-a9fd7693d05a","SIL"
"37",16.8,33.6,49.6,"SEED-544-Soybeans","0f14ace3-21d9-4c37-906f-a8550179f708","L"
"38",23.47,46.23,30.3,"Cragen Jerry's Place - JP North Levee","0f1f46e8-3f94-4633-9938-f34c3df6f152","L"
"39",28.4,61.6,10,"home 141","0f5822e7-4ae3-4561-8886-b9b12233e805","SICL"
"40",28.48,63.81,7.71,"house","1030ed48-00e8-4b2c-9cb6-0c5c394845d4","SICL"
"41",35.8233333333333,45.4933333333333,18.6833333333333,"Dawson Farms - 2016 Doug C","10806b3d-1c52-45ab-8ed7-0ec2f32beb6f","SICL"
"42",10,23.8383838383838,66.1616161616162,"pnd","10b16d29-10ec-49b3-b157-789b818c5ef7","SL"
"43",21,51.5,27.5,"SEED-516-Soybeans","10cb8fda-d60c-4afb-a0e8-feb3c113b017","SIL"
"44",31.77,60.46,7.77,"west field","10f55fe0-5e0c-4176-8ef0-ea3fddb36719","SICL"
"45",28.48,63.81,7.71,"house","119e62d2-40de-40ef-b60d-b8644e9387de","SICL"
"46",31,60,9,"Rockville 80","123ffa01-4a5b-48b9-8082-6d12e5613dc0","SICL"
"47",13.5757575757576,30.010101010101,56.4141414141414,"SEED-517-Soybeans","1260061f-f6a5-4fbf-932b-89dc53e9161f","SL"
"48",18,77,5,"1-000393acfield","128b4e28-dc2f-4402-9662-f005e8c26643","SIL"
"49",16.8,33.6,49.6,"SEED-544-Soybeans","129f7e22-5330-4b9f-82fe-537162e32637","L"
"50",23.01,69.87,7.12,"CrabtreeField3","13a3003a-0629-49bf-a10d-18458492c858","SIL"
"51",26.8,69.2,4,"Maytown Buildings_NO Product_1_poly","13af5453-93cd-4b2c-aa00-2f76d4fd1e6c","SIL"
"52",28.9,67.6,3.5,"north bins","1400e613-4507-40ea-8355-9a788fd0bfde","SICL"
"53",22,50.5,27.5,"SEED-516-Soybeans","1482c0f1-0f35-4e08-bfc2-68cf36415f8a","SIL"
"54",28.9,67.6,3.5,"north bins","14b72536-2e03-4354-ac8b-724029985dca","SICL"
"55",13.7,30.55,55.75,"523 clone","14feb1bd-3f37-4623-a01f-34bf48a35752","SL"
"56",13.45,77.1,9.45,"21-000128creek","16fa4363-826c-4426-a8cd-6e0598ad81bd","SIL"
"57",42.88,49.59,7.53,"D Durdan Arnez","170af2bb-ffc9-4864-9bf8-e9c1bc8afe0c","SIC"
"58",13.5757575757576,30.010101010101,56.4141414141414,"MCCOY, SARAH-SALLY'S S 80-Soybeans","1741ce23-2294-4993-b7d9-924d05834402","SL"
"59",30.56,64.44,5,"north bins clone","1781e43e-67be-4d38-ab12-b3eccfff1ef6","SICL"
"60",25.71,43.28,31.01,"SEED-517-Soybeans","187565f8-1639-488c-b438-99c360b87340","L"
"61",27.72,40.76,31.52,"Hamblock South Field","1925510d-6cf0-4d08-93a1-c6a2fe91b0f7","CL"
"62",12.8,40.2,47,"3-4-5","19382d7e-b2c9-4e5e-ac97-c9ea0b208cbc","L"
"63",10,23.8383838383838,66.1616161616162,"pnd","19576471-67d2-431a-b911-e41b1a637663","SL"
"64",17.5733333333333,74.76,7.66666666666667,"21-000128creek","19620072-1831-475f-9267-9e4f2f5c4374","SIL"
"65",24.0233333333333,58.2266666666667,17.75,"field-ne-001","1aa6a8cb-01b3-43f8-b135-66fad3ac5d79","SIL"
"66",22.4,41.6,36,"523 clone","1af34092-a541-46b6-9f53-d8a833c08951","L"
"67",27.65,47.145,25.205,"Stan Steed_Stan's_East of Bins_2019_264L4_1","1b53a228-daca-43e5-ba1d-256fc9e44993","CL"
"68",23.16,71.84,5,"Burrus Seed Farms - BMN  - Boundary","1b59c251-6e8b-440d-8c53-447c388de124","SIL"
"69",11.34,21.34,67.32,"523 clone","1bb7666c-49ce-47b3-9a2c-72ff79464756","SL"
"70",38.9466666666667,47.7233333333333,13.33,"Stan Steed_Stan's_East of Bins_2019_264L4_1","1bd4a493-f7bd-4b7c-8b74-5b51286d1dbe","SICL"
"71",21.375,37.79,40.835,"Home Farm West","1c29be54-9367-4123-9eca-bff5ce11ccbb","L"
"72",20.7234042553191,74.2765957446808,5,"haines","1daa8e6a-2243-429e-8936-728ae621dffc","SIL"
"73",35.8233333333333,45.4933333333333,18.6833333333333,"Matthew King_Two Daisy Farm_North Field_2018_6365AM_1","1df06bb9-6db3-4992-99cf-c016046d96a3","SICL"
"74",20.505,34.51,44.985,"yale","1f0ad22a-6f03-4767-80ac-33daa0edc180","L"
"75",16.8,33.6,49.6,"SEED-544-Soybeans","1f1bb9d9-3853-4b63-b90d-5fe5a1738335","L"
"76",28.48,63.81,7.71,"house","1fe90826-e610-45d2-9ada-101582cb7e6a","SICL"
"77",20.5,54.12,25.38,"haines","212830da-3de9-4509-a060-c5744d4d4c24","SIL"
"78",21.36,40.52,38.12,"SEED-516-Soybeans","21457f16-6d55-430e-bcb9-073c33cc1066","L"
"79",2,3,95,"523 clone","219fa7e3-de33-4b0e-977d-2f819e12d3a7","S"
"80",29.1919191919192,65.8080808080808,5,"schable","22fb17de-3470-4e29-bcb0-507dd008485d","SICL"
"81",22.4,41.6,36,"YUSUF-MAIN-YUSUF MAIN-W OF RD-Soybeans","23303c88-dbc0-4e95-ab35-a4e18a32e23a","L"
"82",23.16,71.84,5,"Burrus Seed Farms - BMN  - Boundary","2353ed66-d3b0-4890-aa1f-f1a16d09717a","SIL"
"83",18,71,11,"StephenFarms_BradKuegel","244c8ffb-6f43-4082-94db-ddb7f8498f6f","SIL"
"84",19,77,4,"Home farm","24c3a115-cceb-4fa8-912b-424f6ffbfd45","SIL"
"85",8.86666666666667,14.7733333333333,76.36,"Hulmes South Big Pivot Harvest","26588f3b-c554-4fdb-8157-70eaeda7ece3","SL"
"86",11.34,21.34,67.32,"523 clone","26594ee8-b1bb-4557-a687-d0cb5b39ecf0","SL"
"87",16.8,33.6,49.6,"SEED-544-Soybeans","272c2e60-7398-418d-8f14-b4fe6bdd0e56","L"
"88",21.2323232323232,38.3030303030303,40.4646464646465,"pnd","274fca21-b5cb-439b-a669-a107442e540d","L"
"89",22.6,41.06,36.34,"pnd","275e6be4-c2c2-4332-9ff5-009182b386a2","L"
"90",26.8,69.2,4,"Maytown North 80_NO Product_1_poly","27cd75c1-3f75-402c-b281-a654e0bdfd6d","SIL"
"91",24.5,58.5,17,"SEED-516-Soybeans","287c4c8a-5143-40c1-b122-ea181aa83987","SIL"
"92",23.3,52.49,24.21,"SEED-516-Soybeans","292f0743-d9ca-48bb-b67b-11310af8dd8d","SIL"
"93",4.58,10.94,84.48,"Smith Eiler North Ditch","295b1823-e22c-4a14-ad0f-1a75575fb9f3","LS"
"94",23.1852941176471,72.5147058823529,4.3,"north","29ee1bd3-46ca-4189-817a-fc81e1645388","SIL"
"95",28.115,67.62,4.265,"Dorris 80","2b58c546-02c6-423f-9397-e4c41cc80128","SICL"
"96",27.62,69.38,3,"Rose's Highway_NO Product_1_poly","2bd7247c-c4b3-4f77-8875-be208385b618","SICL"
"97",13.7,30.55,55.75,"523 clone","2bfd9a71-59f6-4fad-a064-e817d433e4c7","SL"
"98",20.7234042553191,74.2765957446808,5,"haines","2c06ed87-ba97-463b-ada5-18ab9a7b8b31","SIL"
"99",27.72,40.76,31.52,"Route 40","2c7ef8a1-3edc-4b6c-96b8-17b29d3bcee4","CL"
